location_name,FIPS Code,Percent Change in Alcohol Use Disorders,State Name
Alamance County,37001,-67.24418085,NC
Alexander County,37003,-28.37531465,NC
Alleghany County,37005,-0.290941896,NC
Anson County,37007,-50.24802898,NC
Ashe County,37009,13.44431831,NC
Avery County,37011,-6.524919339,NC
Beaufort County,37013,-60.7022352,NC
Bertie County,37015,-72.41785874,NC
Bladen County,37017,-58.57239858,NC
Brunswick County,37019,-35.71442387,NC
Buncombe County,37021,-49.33042169,NC
Burke County,37023,-37.73649012,NC
Cabarrus County,37025,-49.93420489,NC
Caldwell County,37027,-23.50708567,NC
Camden County,37029,-66.51314337,NC
Carteret County,37031,-33.37291091,NC
Caswell County,37033,-66.53641822,NC
Catawba County,37035,-29.37607147,NC
Chatham County,37037,-81.95527671,NC
Cherokee County,37039,-23.07340714,NC
Chowan County,37041,-56.99841059,NC
Clay County,37043,-24.4291973,NC
Cleveland County,37045,-38.12533419,NC
Columbus County,37047,-60.81576549,NC
Craven County,37049,-44.96374835,NC
Cumberland County,37051,-61.1272106,NC
Currituck County,37053,-47.17478246,NC
Dare County,37055,-18.06503487,NC
Davidson County,37057,-58.86927675,NC
Davie County,37059,-43.42954364,NC
Duplin County,37061,-66.23007394,NC
Durham County,37063,-82.46477176,NC
Edgecombe County,37065,-72.35241778,NC
Forsyth County,37067,-66.89699442,NC
Franklin County,37069,-75.90405638,NC
Gaston County,37071,-40.30982583,NC
Gates County,37073,-66.00864259,NC
Graham County,37075,6.391788345,NC
Granville County,37077,-78.023262,NC
Greene County,37079,-76.25998034,NC
Guilford County,37081,-69.15651423,NC
Halifax County,37083,-65.78059561,NC
Harnett County,37085,-61.69970416,NC
Haywood County,37087,-4.598403123,NC
Henderson County,37089,5.190670986,NC
Hertford County,37091,-65.52319562,NC
Hoke County,37093,-80.76296142,NC
Hyde County,37095,-43.29298563,NC
Iredell County,37097,-56.00934696,NC
Jackson County,37099,-14.55428562,NC
Johnston County,37101,-80.01798864,NC
Jones County,37103,-56.06318066,NC
Lee County,37105,-52.66390189,NC
Lenoir County,37107,-63.11959158,NC
Lincoln County,37109,-48.61702332,NC
McDowell County,37111,-32.1928401,NC
Macon County,37113,0.239250314,NC
Madison County,37115,-46.86638647,NC
Martin County,37117,-60.26448191,NC
Mecklenburg County,37119,-69.12139502,NC
Mitchell County,37121,-26.18680813,NC
Montgomery County,37123,-59.26146923,NC
Moore County,37125,-69.49689532,NC
Nash County,37127,-73.60864015,NC
New Hanover County,37129,-40.87202195,NC
Northampton County,37131,-65.59575564,NC
Onslow County,37133,-36.25325153,NC
Orange County,37135,-82.1153039,NC
Pamlico County,37137,-49.94156664,NC
Pasquotank County,37139,-58.63177609,NC
Pender County,37141,-65.67955642,NC
Perquimans County,37143,-65.79781026,NC
Person County,37145,-67.81752994,NC
Pitt County,37147,-75.13441445,NC
Polk County,37149,-35.10998271,NC
Randolph County,37151,-51.71469843,NC
Richmond County,37153,-54.21664255,NC
Robeson County,37155,-59.838029,NC
Rockingham County,37157,-38.67731615,NC
Rowan County,37159,-48.68918891,NC
Rutherford County,37161,-32.74153202,NC
Sampson County,37163,-53.91348935,NC
Scotland County,37165,-53.99221151,NC
Stanly County,37167,-53.90009329,NC
Stokes County,37169,-62.50243312,NC
Surry County,37171,-28.09364764,NC
Swain County,37173,26.43249665,NC
Transylvania County,37175,-5.523456683,NC
Tyrrell County,37177,-21.0503547,NC
Union County,37179,-61.64674734,NC
Vance County,37181,-74.79903772,NC
Wake County,37183,-63.38910428,NC
Warren County,37185,-74.53191823,NC
Washington County,37187,-51.37401372,NC
Watauga County,37189,34.42187333,NC
