State,County,Value,FIPS Code
CALIFORNIA,SAN LUIS OBISPO,595,06079
CALIFORNIA,SANTA CLARA,176,06085
CALIFORNIA,SONOMA,5,06097
CALIFORNIA,GLENN,45693,06021
CALIFORNIA,SUTTER,6975,06101
CALIFORNIA,TEHAMA,6555,06103
CALIFORNIA,YOLO,11882,06113
CALIFORNIA,FRESNO,132091,06019
CALIFORNIA,KERN,143809,06029
CALIFORNIA,KINGS,18501,06031
CALIFORNIA,MADERA,80630,06039
CALIFORNIA,MERCED,101499,06047
CALIFORNIA,SAN JOAQUIN,46380,06077
CALIFORNIA,STANISLAUS,120339,06099
CALIFORNIA,TULARE,22365,06107
CALIFORNIA,EL DORADO,3,06017
CALIFORNIA,NEVADA,1,06057
CALIFORNIA,PLACER,19,06061
NEVADA,LINCOLN,6,32017
NEW MEXICO,VALENCIA,1,35061
OREGON,JACKSON,1,41029
