Location,Percent Change,FIPS Code
National,40.04,0
Alabama,38.26,1
Autauga County,33.42,1001
Baldwin County,38.38,1003
Barbour County,39.93,1005
Bibb County,39.16,1007
Blount County,37.14,1009
Bullock County,38.37,1011
Butler County,38.52,1013
Calhoun County,32.78,1015
Chambers County,36.26,1017
Cherokee County,31.93,1019
Chilton County,39.39,1021
Choctaw County,38.28,1023
Clarke County,40.55,1025
Clay County,31.89,1027
Cleburne County,33.35,1029
Coffee County,39.26,1031
Colbert County,35.81,1033
Conecuh County,43.88,1035
Coosa County,35.86,1037
Covington County,35,1039
Crenshaw County,34.08,1041
Cullman County,43.4,1043
Dale County,36.48,1045
Dallas County,51.53,1047
DeKalb County,43.6,1049
Elmore County,43.05,1051
Escambia County,41.26,1053
Etowah County,40.14,1055
Fayette County,36.7,1057
Franklin County,39.95,1059
Geneva County,37.5,1061
Greene County,34.91,1063
Hale County,32.81,1065
Henry County,32.26,1067
Houston County,37.98,1069
Jackson County,41.03,1071
Jefferson County,37.03,1073
Lamar County,39.65,1075
Lauderdale County,45.91,1077
Lawrence County,38.46,1079
Lee County,40.53,1081
Limestone County,44.69,1083
Lowndes County,34.39,1085
Macon County,37.43,1087
Madison County,41.94,1089
Marengo County,35.3,1091
Marion County,41.92,1093
Marshall County,49.43,1095
Mobile County,42.89,1097
Monroe County,38.22,1099
Montgomery County,44.81,1101
Morgan County,51.61,1103
Perry County,42.48,1105
Pickens County,40.64,1107
Pike County,35.55,1109
Randolph County,34.55,1111
Russell County,40.21,1113
Saint Clair County,31.81,1115
Shelby County,31.56,1117
Sumter County,42.72,1119
Talladega County,35.12,1121
Tallapoosa County,39.56,1123
Tuscaloosa County,38.24,1125
Walker County,34.86,1127
Washington County,36.93,1129
Wilcox County,36.87,1131
Winston County,45.58,1133
Alaska,31.51,2
Aleutians East Borough,28.28,2013
Aleutians West Census Area,28.28,2016
Anchorage Municipality,33.58,2020
Bethel Census Area,36.42,2050
Bristol Bay Borough,30.56,2060
Denali Borough,29.91,2068
Dillingham Census Area,32.62,2070
Fairbanks North Star Borough,26.49,2090
Haines Borough,19.71,2100
Hoonah-Angoon Census Area,23.13,2105
Juneau City and Borough,28.52,2110
Kenai Peninsula Borough,31.86,2122
Ketchikan Gateway Borough,29.07,2130
Kodiak Island Borough,28.14,2150
Kusilvak Census Area,40.26,2158
Lake and Peninsula Borough,32.62,2164
Matanuska-Susitna Borough,40.96,2170
Nome Census Area,34.37,2180
North Slope Borough,25.79,2185
Northwest Arctic Borough,30.77,2188
Petersburg Borough,29.07,2195
Prince of Wales-Hyder Census Area,29.07,2198
Sitka City and Borough,24.53,2220
Skagway Municipality,23.13,2230
Southeast Fairbanks Census Area,28.83,2240
Valdez-Cordova Census Area,28.28,2261
Wrangell City and Borough,29.07,2275
Yakutat City and Borough,23.13,2282
Yukon-Koyukuk Census Area,29.91,2290
Arizona,47.48,4
Apache County,32.82,4001
Cochise County,37.24,4003
Coconino County,43.19,4005
Gila County,45.46,4007
Graham County,40,4009
Greenlee County,37.99,4011
La Paz County,50.13,4012
Maricopa County,49.31,4013
Mohave County,43.73,4015
Navajo County,32.23,4017
Pima County,47.8,4019
Pinal County,39.16,4021
Santa Cruz County,35.93,4023
Yavapai County,52.12,4025
Yuma County,50.13,4027
Arkansas,47.49,5
Arkansas County,48.39,5001
Ashley County,40.13,5003
Baxter County,44.26,5005
Benton County,62.4,5007
Boone County,48.71,5009
Bradley County,42.87,5011
Calhoun County,40.78,5013
Carroll County,54.12,5015
Chicot County,45.39,5017
Clark County,53.21,5019
Clay County,40.4,5021
Cleburne County,47.67,5023
Cleveland County,37.03,5025
Columbia County,38.89,5027
Conway County,46.52,5029
Craighead County,45.01,5031
Crawford County,54.87,5033
Crittenden County,40.87,5035
Cross County,38.22,5037
