Location,Percent Change in Diabetes Prevalence,FIPS Code,State Name
Arkansas,47.49,5,AR
Arkansas County,48.39,5001,AR
Ashley County,40.13,5003,AR
Baxter County,44.26,5005,AR
Benton County,62.4,5007,AR
Boone County,48.71,5009,AR
Bradley County,42.87,5011,AR
Calhoun County,40.78,5013,AR
Carroll County,54.12,5015,AR
Chicot County,45.39,5017,AR
Clark County,53.21,5019,AR
Clay County,40.4,5021,AR
Cleburne County,47.67,5023,AR
Cleveland County,37.03,5025,AR
Columbia County,38.89,5027,AR
Conway County,46.52,5029,AR
Craighead County,45.01,5031,AR
Crawford County,54.87,5033,AR
Crittenden County,40.87,5035,AR
Cross County,38.22,5037,AR
Dallas County,40.75,5039,AR
Desha County,45.75,5041,AR
Drew County,44.06,5043,AR
Faulkner County,51.69,5045,AR
Franklin County,46.44,5047,AR
Fulton County,46.46,5049,AR
Garland County,57.58,5051,AR
Grant County,41.97,5053,AR
Greene County,44.6,5055,AR
Hempstead County,50.24,5057,AR
Hot Spring County,46.59,5059,AR
Howard County,47.1,5061,AR
Independence County,49.31,5063,AR
Izard County,55.32,5065,AR
Jackson County,50.8,5067,AR
Jefferson County,46.43,5069,AR
Johnson County,48.52,5071,AR
Lafayette County,44.86,5073,AR
Lawrence County,45.84,5075,AR
Lee County,50,5077,AR
Lincoln County,47.96,5079,AR
Little River County,43.02,5081,AR
Logan County,48.52,5083,AR
Lonoke County,42.73,5085,AR
Madison County,55.08,5087,AR
Marion County,46.91,5089,AR
Miller County,37.58,5091,AR
Mississippi County,45.45,5093,AR
Monroe County,41.43,5095,AR
Montgomery County,47.38,5097,AR
Nevada County,44.56,5099,AR
Newton County,48.68,5101,AR
Ouachita County,44.45,5103,AR
Perry County,46.67,5105,AR
Phillips County,48.38,5107,AR
Pike County,54,5109,AR
Poinsett County,41.14,5111,AR
Polk County,53.03,5113,AR
Pope County,50.24,5115,AR
Prairie County,50.04,5117,AR
Pulaski County,51.01,5119,AR
Randolph County,41.76,5121,AR
Saint Francis County,44.63,5123,AR
Saline County,48.5,5125,AR
Scott County,52.79,5127,AR
Searcy County,44.48,5129,AR
Sebastian County,53.63,5131,AR
Sevier County,59.78,5133,AR
Sharp County,54.9,5135,AR
Stone County,48.92,5137,AR
Union County,41.33,5139,AR
Van Buren County,53.38,5141,AR
Washington County,54.8,5143,AR
White County,46.74,5145,AR
Woodruff County,42.5,5147,AR
Yell County,50.48,5149,AR
Kansas,44.35,20,KS
Allen County,42.1,20001,KS
Anderson County,40.5,20003,KS
Atchison County,47.3,20005,KS
Barber County,45.62,20007,KS
Barton County,43.05,20009,KS
Bourbon County,46.25,20011,KS
Brown County,40.37,20013,KS
Butler County,41.24,20015,KS
Chase County,43.14,20017,KS
Chautauqua County,49.57,20019,KS
Cherokee County,42,20021,KS
Cheyenne County,37.59,20023,KS
Clark County,45.24,20025,KS
Clay County,39.7,20027,KS
Cloud County,49.1,20029,KS
Coffey County,40.77,20031,KS
Comanche County,37.1,20033,KS
Cowley County,53.7,20035,KS
Crawford County,46.96,20037,KS
Decatur County,39.53,20039,KS
Dickinson County,46.82,20041,KS
Doniphan County,35.82,20043,KS
Douglas County,47.4,20045,KS
Edwards County,39.95,20047,KS
Elk County,37.91,20049,KS
Ellis County,39.66,20051,KS
Ellsworth County,44.05,20053,KS
Finney County,51.62,20055,KS
Ford County,57.01,20057,KS
Franklin County,41.8,20059,KS
Geary County,42.21,20061,KS
Gove County,34.92,20063,KS
Graham County,38.86,20065,KS
Grant County,49.66,20067,KS
Gray County,46.6,20069,KS
Greeley County,39.33,20071,KS
Greenwood County,43.05,20073,KS
Hamilton County,51.7,20075,KS
Harper County,38.25,20077,KS
Harvey County,49.8,20079,KS
Haskell County,53,20081,KS
Hodgeman County,40.95,20083,KS
Jackson County,36.54,20085,KS
Jefferson County,41.25,20087,KS
Jewell County,42.68,20089,KS
Johnson County,44.03,20091,KS
Kearny County,42.38,20093,KS
Kingman County,44.59,20095,KS
Kiowa County,49.18,20097,KS
Labette County,40.6,20099,KS
Lane County,37.79,20101,KS
Leavenworth County,41.91,20103,KS
Lincoln County,48.73,20105,KS
Linn County,43.56,20107,KS
Logan County,37,20109,KS
Lyon County,55.29,20111,KS
McPherson County,43.54,20113,KS
Marion County,47.64,20115,KS
Marshall County,42.33,20117,KS
Meade County,47.52,20119,KS
Miami County,39.09,20121,KS
Mitchell County,41.22,20123,KS
Montgomery County,51.2,20125,KS
Morris County,46.56,20127,KS
Morton County,61.99,20129,KS
Nemaha County,38.89,20131,KS
Neosho County,41.03,20133,KS
Ness County,41.34,20135,KS
Norton County,45.04,20137,KS
Osage County,41.09,20139,KS
Osborne County,38.35,20141,KS
Ottawa County,44.29,20143,KS
Pawnee County,48.15,20145,KS
Phillips County,41.51,20147,KS
Pottawatomie County,40.15,20149,KS
Pratt County,40.5,20151,KS
Rawlins County,37.74,20153,KS
Reno County,42.93,20155,KS
Republic County,38.44,20157,KS
Rice County,43.61,20159,KS
Riley County,48.35,20161,KS
Rooks County,34.2,20163,KS
Rush County,41.31,20165,KS
Russell County,40.21,20167,KS
Saline County,53.21,20169,KS
Scott County,50.93,20171,KS
Sedgwick County,48.48,20173,KS
Seward County,68.84,20175,KS
Shawnee County,48.26,20177,KS
Sheridan County,43.59,20179,KS
Sherman County,47.9,20181,KS
Smith County,38.44,20183,KS
Stafford County,42.7,20185,KS
Stanton County,58.62,20187,KS
Stevens County,52.41,20189,KS
Sumner County,42.12,20191,KS
Thomas County,45.75,20193,KS
Trego County,35,20195,KS
Wabaunsee County,44.94,20197,KS
Wallace County,39.58,20199,KS
Washington County,41.19,20201,KS
Wichita County,46.04,20203,KS
Wilson County,41.79,20205,KS
Woodson County,44.11,20207,KS
Wyandotte County,42.88,20209,KS
Missouri,40.67,29,MO
Adair County,47.31,29001,MO
Andrew County,37.03,29003,MO
Atchison County,41.81,29005,MO
Audrain County,46.55,29007,MO
Barry County,54.27,29009,MO
Barton County,37.93,29011,MO
Bates County,42.44,29013,MO
Benton County,38.56,29015,MO
Bollinger County,38.91,29017,MO
Boone County,42.88,29019,MO
Buchanan County,43.87,29021,MO
Butler County,37.61,29023,MO
Caldwell County,43.53,29025,MO
Callaway County,38.47,29027,MO
Camden County,45.86,29029,MO
Cape Girardeau County,39.8,29031,MO
Carroll County,39.92,29033,MO
Carter County,43.07,29035,MO
Cass County,41.91,29037,MO
Cedar County,45.12,29039,MO
Chariton County,38.9,29041,MO
Christian County,48.01,29043,MO
Clark County,39.21,29045,MO
Clay County,49.74,29047,MO
Clinton County,38.33,29049,MO
Cole County,42.61,29051,MO
Cooper County,35.57,29053,MO
Crawford County,48.82,29055,MO
Dade County,42.28,29057,MO
Dallas County,45.96,29059,MO
Daviess County,40.89,29061,MO
DeKalb County,48.54,29063,MO
Dent County,47.55,29065,MO
Douglas County,49.26,29067,MO
Dunklin County,42.99,29069,MO
Franklin County,43.5,29071,MO
Gasconade County,46.35,29073,MO
Gentry County,40.35,29075,MO
Greene County,45.3,29077,MO
Grundy County,40.88,29079,MO
Harrison County,39.65,29081,MO
Henry County,36.33,29083,MO
Hickory County,44.58,29085,MO
Holt County,40.82,29087,MO
Howard County,35.72,29089,MO
Howell County,39.62,29091,MO
Iron County,46.84,29093,MO
Jackson County,46.55,29095,MO
Jasper County,48.66,29097,MO
Jefferson County,40.08,29099,MO
Johnson County,40.07,29101,MO
Knox County,39.25,29103,MO
Laclede County,51.44,29105,MO
Lafayette County,41.61,29107,MO
Lawrence County,49.96,29109,MO
Lewis County,41.97,29111,MO
Lincoln County,40.91,29113,MO
Linn County,41.83,29115,MO
Livingston County,40.84,29117,MO
McDonald County,50.13,29119,MO
Macon County,41.11,29121,MO
Madison County,45.68,29123,MO
Maries County,42.94,29125,MO
Marion County,42.24,29127,MO
Mercer County,38.37,29129,MO
Miller County,43.64,29131,MO
Mississippi County,46.11,29133,MO
Moniteau County,37.84,29135,MO
Monroe County,37.8,29137,MO
Montgomery County,41.88,29139,MO
Morgan County,43.84,29141,MO
New Madrid County,44.77,29143,MO
Newton County,50.19,29145,MO
Nodaway County,46.05,29147,MO
