Location,FIPS Code,Percent Change in Interpersonal Violence
United States,0,-44.85572977
Alabama,1,-36.70214718
Alaska,2,-31.48170283
Arizona,4,-33.24122675
Arkansas,5,-33.24097713
California,6,-57.94175434
Colorado,8,-41.10223048
Connecticut,9,-36.18623112
Delaware,10,-5.981867407
District of Columbia,11,-47.11874775
Florida,12,-56.57836405
Georgia,13,-51.73434609
Hawaii,15,-56.65503824
Idaho,16,-33.95426264
Illinois,17,-45.39134722
Indiana,18,-16.46565036
Iowa,19,-14.49066638
Kansas,20,-27.82555929
Kentucky,21,-35.88788451
Louisiana,22,-27.35760153
Maine,23,-16.51444185
Maryland,24,-28.99813951
Massachusetts,25,-37.26516711
Michigan,26,-37.09299306
Minnesota,27,-13.70738925
Mississippi,28,-28.70645539
Missouri,29,-38.4073319
Montana,30,-23.0859459
Nebraska,31,-5.112028674
Nevada,32,-45.19945165
New Hampshire,33,-27.65401434
New Jersey,34,-38.47653301
New Mexico,35,-36.45288303
New York,36,-67.35820138
North Carolina,37,-41.53216683
North Dakota,38,-16.85787069
Ohio,39,-20.86089476
Oklahoma,40,-29.16597167
Oregon,41,-39.61360439
Pennsylvania,42,-22.97254717
Rhode Island,44,-31.43407383
South Carolina,45,-35.54775758
South Dakota,46,-19.68349697
Tennessee,47,-35.0659984
Texas,48,-64.44782792
Utah,49,-37.40321992
Vermont,50,-20.67816681
Virginia,51,-47.3431591
Washington,53,-35.68204818
West Virginia,54,-17.04267558
Wisconsin,55,-12.00610021
Wyoming,56,-20.82923304
Autauga County,01001,-37.7734957
Baldwin County,01003,-51.19879
Barbour County,01005,-39.03811853
Bibb County,01007,-27.58673187
Blount County,01009,-23.53489794
Bullock County,01011,-34.07762269
Butler County,01013,-17.09922233
Calhoun County,01015,-12.80195921
Chambers County,01017,-40.99307076
Cherokee County,01019,-50.97506135
Chilton County,01021,-29.13861624
Choctaw County,01023,-37.90457959
Clarke County,01025,-47.41749147
Clay County,01027,-41.6186838
Cleburne County,01029,-37.85800775
Coffee County,01031,-53.03793126
Colbert County,01033,-20.00183552
Conecuh County,01035,-28.10732639
Coosa County,01037,-42.28401401
Covington County,01039,-45.99429812
Crenshaw County,01041,-31.0005619
Cullman County,01043,-34.4204358
Dale County,01045,-35.97292112
Dallas County,01047,27.04522487
DeKalb County,01049,-40.0382838
Elmore County,01051,-36.53154767
Escambia County,01053,-29.07049024
Etowah County,01055,-37.73765415
Fayette County,01057,-27.04244641
Franklin County,01059,-29.3320466
Geneva County,01061,-45.39709011
Greene County,01063,-28.6416994
Hale County,01065,-29.36971048
Henry County,01067,-53.04864063
Houston County,01069,-45.1573235
Jackson County,01071,-30.6499228
Jefferson County,01073,-34.2654347
Lamar County,01075,-37.38606689
Lauderdale County,01077,-28.87268051
Lawrence County,01079,-36.88955847
Lee County,01081,-30.4339175
Limestone County,01083,-32.42134993
Lowndes County,01085,-26.65802396
Macon County,01087,-10.63793966
Madison County,01089,-34.84297115
Marengo County,01091,-36.01104742
Marion County,01093,-23.21371543
Marshall County,01095,-43.27943404
Mobile County,01097,-39.06062847
Monroe County,01099,-37.66380304
Montgomery County,01101,-0.998427842
Morgan County,01103,-31.77441382
Perry County,01105,-6.608051155
Pickens County,01107,-38.61333506
Pike County,01109,-34.48783632
Randolph County,01111,-46.46880089
Russell County,01113,-37.58571312
Saint Clair County,01115,-39.26334121
Shelby County,01117,-48.24310306
Sumter County,01119,-39.94957169
Talladega County,01121,-29.02648453
Tallapoosa County,01123,-34.63479165
Tuscaloosa County,01125,-25.70424725
Walker County,01127,-4.699166801
Washington County,01129,-41.60525697
Wilcox County,01131,-24.18767785
Winston County,01133,-8.7580989
Aleutians East Borough,02013,-58.21230395
Aleutians West Census Area,02016,-58.21230395
Anchorage Municipality,02020,-25.13949166
Bethel Census Area,02050,-20.70962934
Bristol Bay Borough,02060,-15.87300536
Denali Borough,02068,-34.26241951
Dillingham Census Area,02070,-27.78181174
Fairbanks North Star Borough,02090,-29.14232338
Haines Borough,02100,-60.91928861
Hoonah-Angoon Census Area,02105,-59.96384172
Juneau City and Borough,02110,-65.9208923
Kenai Peninsula Borough,02122,-25.98388404
Ketchikan Gateway Borough,02130,-41.00318511
Kodiak Island Borough,02150,-36.91603636
Kusilvak Census Area,02158,-17.93582318
Lake and Peninsula Borough,02164,-27.78181174
Matanuska-Susitna Borough,02170,-14.14286555
Nome Census Area,02180,-50.71816784
North Slope Borough,02185,-67.65654246
Northwest Arctic Borough,02188,-54.68211951
Petersburg Borough,02195,-41.00318511
Prince of Wales-Hyder Census Area,02198,-41.00318511
Sitka City and Borough,02220,-43.19753514
Skagway Municipality,02230,-59.96384172
Southeast Fairbanks Census Area,02240,-44.99920928
Valdez-Cordova Census Area,02261,-37.74125144
Wrangell City and Borough,02275,-41.00318511
Yakutat City and Borough,02282,-59.96384172
Yukon-Koyukuk Census Area,02290,-34.26241951
Apache County,04001,-14.34333985
Cochise County,04003,-14.07285499
Coconino County,04005,-17.01353632
Gila County,04007,-22.85281455
Graham County,04009,-29.44149969
Greenlee County,04011,-4.863394903
La Paz County,04012,-55.57170343
Maricopa County,04013,-34.72433991
Mohave County,04015,-21.25500283
Navajo County,04017,-23.14949804
Pima County,04019,-23.61173328
Pinal County,04021,-54.8261172
Santa Cruz County,04023,-28.72436951
Yavapai County,04025,-34.52545452
Yuma County,04027,-55.57170343
Arkansas County,05001,-4.770510883
Ashley County,05003,-43.38533067
Baxter County,05005,-34.06518864
Benton County,05007,-33.61336447
Boone County,05009,-7.143942315
Bradley County,05011,-35.94643275
Calhoun County,05013,-47.67294927
Carroll County,05015,-16.52391471
Chicot County,05017,-24.51902288
Clark County,05019,-40.37407981
Clay County,05021,-37.68656877
Cleburne County,05023,-32.12420112
Cleveland County,05025,-37.18700287
Columbia County,05027,-43.61575526
Conway County,05029,-33.35906622
Craighead County,05031,-14.75734404
Crawford County,05033,-31.91513221
Crittenden County,05035,-24.77129706
Cross County,05037,-33.95198753
Dallas County,05039,-31.3210413
Desha County,05041,-16.01186134
Drew County,05043,-26.3303586
Faulkner County,05045,-31.56973805
Franklin County,05047,-37.01726498
Fulton County,05049,-22.57550586
Garland County,05051,-22.968927
Grant County,05053,-38.86595129
Greene County,05055,-25.87839958
Hempstead County,05057,-35.90236095
Hot Spring County,05059,-38.56405455
Howard County,05061,-34.15561251
Independence County,05063,-20.2711131
Izard County,05065,-16.82337553
Jackson County,05067,-27.06943658
Jefferson County,05069,23.47682375
Johnson County,05071,-29.21146336
Lafayette County,05073,-48.22217639
Lawrence County,05075,-36.64350698
Lee County,05077,-19.92954266
Lincoln County,05079,-24.03465795
Little River County,05081,-49.62258463
Logan County,05083,-26.18915387
Lonoke County,05085,-41.16828357
Madison County,05087,-36.1981257
Marion County,05089,-16.24302889
Miller County,05091,-43.63018243
Mississippi County,05093,-5.977798075
Monroe County,05095,-23.30963091
Montgomery County,05097,-31.50806729
Nevada County,05099,-39.51967884
Newton County,05101,-29.38063211
Ouachita County,05103,-18.36569172
Perry County,05105,-35.63072473
Phillips County,05107,13.89506211
Pike County,05109,-34.38130332
Poinsett County,05111,-22.85531983
Polk County,05113,-36.22886401
Pope County,05115,-19.90469557
Prairie County,05117,-33.6562778
Pulaski County,05119,-16.35916165
Randolph County,05121,-40.45021096
Saint Francis County,05123,-8.458062487
Saline County,05125,-33.84666165
Scott County,05127,-29.88588103
Searcy County,05129,-25.83967148
Sebastian County,05131,-24.67203355
Sevier County,05133,-30.86104124
Sharp County,05135,-23.67054661
Stone County,05137,-22.92252939
Union County,05139,-29.69723492
Van Buren County,05141,-33.008238
Washington County,05143,-49.26698655
White County,05145,-27.69203166
Woodruff County,05147,-31.25234234
Yell County,05149,-24.44971524
Alameda County,06001,-36.51976241
Alpine County,06003,-34.71903796
Amador County,06005,-29.81169648
Butte County,06007,-27.56436783
Calaveras County,06009,-37.61067187
Colusa County,06011,-29.49751521
Contra Costa County,06013,-22.11906544
Del Norte County,06015,-21.37973476
El Dorado County,06017,-50.32561288
Fresno County,06019,-47.29296692
Glenn County,06021,-27.6413291
Humboldt County,06023,-24.79340578
Imperial County,06025,-73.39335954
Inyo County,06027,-52.15939876
Kern County,06029,-38.39666706
Kings County,06031,-36.63171226
Lake County,06033,-9.410260108
Lassen County,06035,-2.356875354
Los Angeles County,06037,-69.51776686
Madera County,06039,-44.21999544
Marin County,06041,-56.86490382
Mariposa County,06043,-30.69850285
Mendocino County,06045,-24.9467889
Merced County,06047,2.093930637
Modoc County,06049,-10.53037394
Mono County,06051,-48.16527988
Monterey County,06053,-5.003971682
Napa County,06055,-50.93490849
Nevada County,06057,-52.70048517
Orange County,06059,-60.7187346
Placer County,06061,-55.31695917
Plumas County,06063,-23.8965967
Riverside County,06065,-62.3167526
Sacramento County,06067,-29.78488961
San Benito County,06069,-28.59344989
San Bernardino County,06071,-44.73219478
San Diego County,06073,-65.10451042
San Francisco County,06075,-68.35684344
San Joaquin County,06077,-15.4009275
San Luis Obispo County,06079,-58.86609481
San Mateo County,06081,-56.88807989
Santa Barbara County,06083,-54.86405859
Santa Clara County,06085,-56.75739876
Santa Cruz County,06087,-37.28622589
Shasta County,06089,-20.3696001
Sierra County,06091,-35.52708001
Siskiyou County,06093,-21.64362832
Solano County,06095,-2.396304302
Sonoma County,06097,-50.19210471
Stanislaus County,06099,-18.1077706
Sutter County,06101,-39.5566896
Tehama County,06103,-16.99386138
Trinity County,06105,-8.703589908
Tulare County,06107,-33.00855689
Tuolumne County,06109,-44.47528451
Ventura County,06111,-52.46871284
Yolo County,06113,-63.51600157
Yuba County,06115,-44.56499176
Adams County,08001,-47.591005
Alamosa County,08003,-12.91377804
Arapahoe County,08005,-47.591005
Archuleta County,08007,-32.04617145
Baca County,08009,-33.94826817
Bent County,08011,1.164743904
Boulder County,08013,-47.591005
Broomfield County,08014,-47.591005
Chaffee County,08015,-46.1310926
Cheyenne County,08017,-24.37871322
Clear Creek County,08019,-47.96635204
Conejos County,08021,-29.71670481
Costilla County,08023,-15.40475412
Crowley County,08025,5.93625041
Custer County,08027,-7.118776935
Delta County,08029,-25.68394175
Denver County,08031,-47.591005
Dolores County,08033,-29.65708189
Douglas County,08035,-41.99012216
Eagle County,08037,-44.27005553
Elbert County,08039,-40.86278684
El Paso County,08041,-8.473412478
Fremont County,08043,-22.2549395
Garfield County,08045,-22.13282023
Gilpin County,08047,-44.21222487
Grand County,08049,-42.7418198
Gunnison County,08051,-29.23157662
Hinsdale County,08053,-28.11192855
Huerfano County,08055,-20.34584825
Jackson County,08057,-28.24852063
Jefferson County,08059,-47.591005
Kiowa County,08061,-27.17267495
Kit Carson County,08063,-15.13976065
Lake County,08065,-48.32569701
La Plata County,08067,-42.64311363
Larimer County,08069,-39.86144303
Las Animas County,08071,-9.099216524
Lincoln County,08073,-7.921967944
Logan County,08075,-1.155957439
Mesa County,08077,-18.73246262
Mineral County,08079,-33.89821276
Moffat County,08081,-24.18034589
Montezuma County,08083,-22.39965647
Montrose County,08085,-17.29933069
Morgan County,08087,-26.42685141
Otero County,08089,-14.25974081
Ouray County,08091,-37.70507206
Park County,08093,-38.71608193
Phillips County,08095,-8.173597623
Pitkin County,08097,-43.56574855
Prowers County,08099,-23.63228196
Pueblo County,08101,3.075187042
Rio Blanco County,08103,-20.01055208
Rio Grande County,08105,-21.0248383
Routt County,08107,-38.95863445
Saguache County,08109,-27.86865912
San Juan County,08111,-27.9275705
San Miguel County,08113,-31.62809663
Sedgwick County,08115,-12.39230632
Summit County,08117,-45.76187781
Teller County,08119,-37.36962932
Washington County,08121,-40.85178455
Weld County,08123,-47.591005
Yuma County,08125,-28.0688209
Fairfield County,09001,-47.88294417
Hartford County,09003,-30.55336107
Litchfield County,09005,-29.46057148
Middlesex County,09007,-40.1907845
New Haven County,09009,-28.63095077
New London County,09011,-20.34028138
Tolland County,09013,-42.81593253
Windham County,09015,-39.24798022
Kent County,10001,-1.399255926
New Castle County,10003,7.130734998
Sussex County,10005,-44.75718666
District of Columbia,11001,-47.11874775
Alachua County,12001,-64.90942742
Baker County,12003,-54.80553681
Bay County,12005,-30.08647724
Bradford County,12007,-64.06026926
Brevard County,12009,-33.99934202
Broward County,12011,-68.2159397
Calhoun County,12013,-46.04281985
Charlotte County,12015,-49.7878672
Citrus County,12017,-35.46539239
Clay County,12019,-37.4775912
Collier County,12021,-76.34676009
Columbia County,12023,-57.25095119
DeSoto County,12027,-61.61491974
Dixie County,12029,-43.7314149
Duval County,12031,-27.62418568
Escambia County,12033,-21.73199681
Flagler County,12035,-52.18584952
Franklin County,12037,-57.70566512
Gadsden County,12039,-52.40993593
Gilchrist County,12041,-46.98789199
Glades County,12043,-55.67264169
Gulf County,12045,-54.84334358
Hamilton County,12047,-62.23866266
Hardee County,12049,-63.10668073
Hendry County,12051,-61.26505019
Hernando County,12053,-33.88323797
Highlands County,12055,-52.87114151
Hillsborough County,12057,-58.74602545
Holmes County,12059,-45.11254257
Indian River County,12061,-57.33960452
Jackson County,12063,-48.17009313
Jefferson County,12065,-69.21171658
Lafayette County,12067,-46.37731381
Lake County,12069,-51.14147117
Lee County,12071,-46.58529567
Leon County,12073,-43.31296586
Levy County,12075,-55.94237541
Liberty County,12077,-37.58532218
Madison County,12079,-63.98133513
Manatee County,12081,-35.8374864
Marion County,12083,-44.14559799
Martin County,12085,-60.29826631
Miami-Dade County,12086,-67.83131853
Monroe County,12087,-78.66783537
Nassau County,12089,-52.76994765
Okaloosa County,12091,-51.16254229
Okeechobee County,12093,-63.3772368
Orange County,12095,-37.68531435
Osceola County,12097,-42.19699993
Palm Beach County,12099,-39.16746529
Pasco County,12101,-38.2891322
Pinellas County,12103,-29.23712735
Polk County,12105,-58.60566657
Putnam County,12107,-44.0891423
Saint Johns County,12109,-71.47194087
Saint Lucie County,12111,-63.41231063
Santa Rosa County,12113,-40.09880979
Sarasota County,12115,-43.91723619
Seminole County,12117,-50.82746507
Sumter County,12119,-65.6550231
Suwannee County,12121,-54.37955282
Taylor County,12123,-59.9817416
Union County,12125,-64.38006512
Volusia County,12127,-49.61710608
Wakulla County,12129,-55.57962027
Walton County,12131,-51.53741887
Washington County,12133,-15.5170108
Appling County,13001,-39.34983719
Atkinson County,13003,-63.78533419
Bacon County,13005,-39.55346451
Baker County,13007,-69.35491895
Baldwin County,13009,-54.00647549
Banks County,13011,-54.43643994
Barrow County,13013,-70.56006648
Bartow County,13015,-61.61648524
Ben Hill County,13017,-47.1120572
Berrien County,13019,-63.1292175
Bibb County,13021,-18.59006924
Bleckley County,13023,-52.60600072
Brantley County,13025,-47.35781237
Brooks County,13027,-63.95258733
Bryan County,13029,-58.33521543
Bulloch County,13031,-48.09789718
Burke County,13033,-44.9839236
Butts County,13035,-56.94986357
Calhoun County,13037,-45.40718627
Camden County,13039,-58.6863393
Candler County,13043,-50.77986682
Carroll County,13045,-54.88118803
Catoosa County,13047,-45.70492502
Charlton County,13049,-39.87683293
Chatham County,13051,-39.66186543
Chattahoochee County,13053,-60.54593797
Chattooga County,13055,-53.99374119
Cherokee County,13057,-62.92924333
Clarke County,13059,-55.52045296
Clay County,13061,-55.82656984
Clayton County,13063,53.94116495
Clinch County,13065,-54.4032012
Cobb County,13067,-32.43594664
Coffee County,13069,-56.6471353
Colquitt County,13071,-35.67641055
Columbia County,13073,-62.4544229
Cook County,13075,-56.27845553
Coweta County,13077,-69.55898071
Crawford County,13079,-70.6791033
Crisp County,13081,-47.75883843
Dade County,13083,-56.21642052
Dawson County,13085,-64.3992575
Decatur County,13087,-52.76918344
DeKalb County,13089,-7.061529813
Dodge County,13091,-56.61368402
Dooly County,13093,-65.30581452
Dougherty County,13095,-45.06859007
Douglas County,13097,-34.69758703
Early County,13099,-42.65415761
Echols County,13101,-63.94587468
Effingham County,13103,-46.73387623
Elbert County,13105,-51.20460085
Emanuel County,13107,-49.11039529
Evans County,13109,-47.2307985
Fannin County,13111,-53.89469276
Fayette County,13113,-35.03036814
Floyd County,13115,-57.43492824
Forsyth County,13117,-67.13146927
Franklin County,13119,-42.26129967
Fulton County,13121,-60.19892578
Gilmer County,13123,-57.22063651
Glascock County,13125,-61.74866251
Glynn County,13127,-47.06226535
Gordon County,13129,-54.54382971
Grady County,13131,-55.16766548
Greene County,13133,-75.7372239
Gwinnett County,13135,-5.514447685
Habersham County,13137,-56.44851988
Hall County,13139,-53.84309387
Hancock County,13141,-62.9223023
Haralson County,13143,-49.42949933
Harris County,13145,-72.63931195
Hart County,13147,-51.35316198
Heard County,13149,-60.00716504
Henry County,13151,-42.71050858
Houston County,13153,-36.73024181
Irwin County,13155,-55.53246308
Jackson County,13157,-60.96483011
Jasper County,13159,-72.25675848
Jeff Davis County,13161,-50.70418801
Jefferson County,13163,-54.53360325
Jenkins County,13165,-32.34521139
Johnson County,13167,-59.15833156
Jones County,13169,-61.96703953
Lamar County,13171,-56.27155609
Lanier County,13173,-60.31796739
Laurens County,13175,-55.03879981
Lee County,13177,-62.08327759
Liberty County,13179,-26.01768247
Lincoln County,13181,-63.04159527
Long County,13183,-48.0879683
Lowndes County,13185,-56.30785928
Lumpkin County,13187,-60.12155226
McDuffie County,13189,-48.49253357
McIntosh County,13191,-58.72527443
Macon County,13193,-49.28058023
Madison County,13195,-50.3835747
Marion County,13197,-66.80431648
Meriwether County,13199,-59.68206559
Miller County,13201,-53.40099338
Mitchell County,13205,-63.3701476
Monroe County,13207,-64.86898887
Montgomery County,13209,-65.25835444
Morgan County,13211,-76.85271092
Murray County,13213,-58.86546549
Muscogee County,13215,-32.22209302
Newton County,13217,-49.03653318
Oconee County,13219,-68.59168585
Oglethorpe County,13221,-74.5420269
Paulding County,13223,-56.54608682
Peach County,13225,-63.09525228
Pickens County,13227,-58.3825371
Pierce County,13229,-58.01153898
Pike County,13231,-62.60896774
Polk County,13233,-46.41309299
Pulaski County,13235,-63.96277751
Putnam County,13237,-71.93146038
Quitman County,13239,-57.61322763
Rabun County,13241,-38.3409173
Randolph County,13243,-45.77712595
