Location,FIPS Code,Percent Change in Mortality Risk
Autauga County,01001,7.219814912
Baldwin County,01003,4.650748496
Barbour County,01005,8.103300743
Bibb County,01007,7.400422912
Blount County,01009,4.442447525
Bullock County,01011,8.781745878
Butler County,01013,6.660940376
Calhoun County,01015,7.627297223
Chambers County,01017,8.123845359
Cherokee County,01019,12.76512163
Chilton County,01021,7.440532972
Choctaw County,01023,7.512967594
Clarke County,01025,5.7257321
Clay County,01027,5.683299114
Cleburne County,01029,7.880483682
Coffee County,01031,5.524799181
Colbert County,01033,5.325601494
Conecuh County,01035,4.908324996
Coosa County,01037,4.643172942
Covington County,01039,5.902868808
Crenshaw County,01041,6.495920063
Cullman County,01043,8.80953648
Dale County,01045,7.61124724
Dallas County,01047,6.649699258
DeKalb County,01049,6.475842895
Elmore County,01051,4.57832495
Escambia County,01053,5.914907814
Etowah County,01055,6.304958201
Fayette County,01057,5.62038278
Franklin County,01059,7.501047305
Geneva County,01061,6.963989759
Greene County,01063,8.855884873
Hale County,01065,5.823980185
Henry County,01067,9.798960018
Houston County,01069,6.977689294
Jackson County,01071,5.46119935
Jefferson County,01073,6.254232398
Lamar County,01075,3.378656474
Lauderdale County,01077,6.266605057
Lawrence County,01079,7.635850159
Lee County,01081,6.751375051
Limestone County,01083,7.085285266
Lowndes County,01085,6.286770603
Macon County,01087,4.816467442
Madison County,01089,6.66092931
Marengo County,01091,5.305416086
Marion County,01093,7.702662338
Marshall County,01095,8.261997985
Mobile County,01097,6.563433637
Monroe County,01099,4.451842505
Montgomery County,01101,6.155110346
Morgan County,01103,5.957958055
Perry County,01105,5.102488964
Pickens County,01107,5.408860583
Pike County,01109,5.461908081
Randolph County,01111,3.292621543
Russell County,01113,2.913487171
Saint Clair County,01115,5.700957799
Shelby County,01117,2.405719552
Sumter County,01119,2.417007804
Talladega County,01121,2.618167286
Tallapoosa County,01123,3.796108606
Tuscaloosa County,01125,3.363406443
Walker County,01127,5.068599162
Washington County,01129,5.882235621
